X,Y,NUMBER,NAME,PERIOD,icon_url
94.867767,21.170767,,Ananda Temple,,./0.png
94.862909,21.168615,,That-byin-nyu Temple,,./0.png
94.857798,21.175961,,Bu_Payar,,./0.png
94.87293,21.162037,,Dhamma_Yan_Gyi,,./0.png
94.850291,21.126812,,Law-Ka-Nanda,,./0.png
94.861163,21.158596,,Gu-byauk-nge,,./0.png
94.860737,21.157116,,Gu-byauk-gyi,,./0.png
94.859301,21.147681,,Na-ga-yon Temple,,./0.png
94.861381,21.149966,,Kya-sin,,./0.png
94.857735,21.14875,,Ape-ya-da-na Temple,,./0.png
94.858883,21.152318,,Nan-paya,,./0.png
94.859257,21.153189,,Ma-nu-ha Temple,,./0.png
94.857394,21.146882,,Soe-min-gyi stupa,,./0.png
94.859245,21.141506,,Sein-nyet-Nyiama,,./0.png
94.88343,21.148493,,Ku-tha,,./0.png
94.882092,21.149107,,Tha-muti,,./0.png
94.86827,21.140385,,Ta-ma-ni complex,,./0.png
94.861998,21.121381,,Kyaung-gyi ama,,./0.png
94.8623,21.121347,,Kyaung-gyi Nyima,,./0.png
94.852499,21.119234,,Tha-yar-wa-tee,,./0.png
94.86877,21.135298,,Sin-Paung,,./0.png
94.854995,21.136745,,Thin-ga-ya-za,,./0.png
94.883516,21.145096,,Dhamma-ya-za-ka,,./0.png
94.858876,21.117231,,Say-ta-nar-gyi,,./0.png
94.858783,21.141486,,,,./0.png
94.865975,21.176174,,Pi-ta-kat Temple,,./0.png
94.863593,21.171034,,Pi-ta-kat Temple,,./0.png
94.864201,21.170609,,Ta-bet-kya,,./0.png
94.862431,21.170613,,Shwe-gu-gyi,,./0.png
94.858798,21.166439,,Mi-nyein-gon,,./0.png
94.858711,21.165603,,Nwa-pya-gu,,./0.png
94.860293,21.165695,,Myin-pya-gu,,./0.png
94.861281,21.164189,,Gu-taw-t,,./0.png
94.865575,21.163231,,Shin-bin-tha-hlyaung,,./0.png
94.862262,21.162927,,Thein-mazi,,./0.png
94.862993,21.161927,,Law-ka-oak-shaung,,./0.png
94.856574,21.169784,,Gaw-daw-palin,,./0.png
94.857777,21.172033,,Atwin-zigon,,./0.png
94.860547,21.172977,,Ma-ha-bodi,,./0.png
94.866164,21.163657,,Shwe-san-daw,,./0.png
94.861353,21.157057,,Mya-zaydi,,./0.png
94.85782,21.16113,,Mingala-zaydi,,./0.png
94.860389,21.148116,,Lay-Myant-Nar,,./0.png
94.876355,21.179501,,U-pa-li-thein,,./0.png
94.874792,21.178616,,Payar-nga-su group,,./0.png
94.879362,21.178501,,Hti-lo-min-lo,,./0.png
94.881927,21.183911,"249",Tha-kya-hi,,./0.png
94.882169,21.185439,"235",Tha-kya-bon,,./0.png
94.882399,21.180809,"259",Shwe-leik-too,,./0.png
94.893911,21.195248,"1",Shwe-zigon,,./0.png
94.893416,21.191824,"65",Kyan-zit-tha-Umin,,./0.png
94.893661,21.185792,"298",Ku-byauk-gyi,,./0.png
94.891019,21.184972,"285",Ku-byauk-nge,,./0.png
94.906807,21.194772,"187",Sapada,,./0.png
94.923073,21.205759,"135",Guni,,./0.png
94.924327,21.208216,"136",,,./0.png
94.928011,21.206913,"151",Kon-daw-gyi,,./0.png
94.927947,21.207777,"147",Tha-kya-muni,,./0.png
94.935631,21.20492,"154",Kyauk-ku-min,,./0.png
94.935962,21.204253,"155",Yatsauk,,./0.png
94.935807,21.207919,"156",Taung-hteik-payar,,./0.png
94.882588,21.176734,"374",Alopyi-payar,,./0.png
94.890556,21.183162,"291",Shin-bome-ok-kyaung,,./0.png
94.881776,21.175924,"392",,,./0.png
94.881919,21.173768,"394",Bu-le-thi,,./0.png
94.874183,21.172271,"1791",Lokah-man-kin,,./0.png
94.876327,21.171971,"1774",Pagan-hmyaw,,./0.png
94.881343,21.164949,"748",Sula-mani,,./0.png
94.889244,21.158308,"803",Pya-tha-da-gyi,,./0.png
94.891143,21.145089,,Hsu-taung-pyi comple,,./0.png
94.8916,21.145554,,,,./0.png
94.891591,21.145658,,,,./0.png
94.890904,21.145523,,,,./0.png
94.889704,21.14472,"918",Thisawadi,,./0.png
94.887795,21.142962,"926",Thamathi,,./0.png
94.902235,21.160618,,Lay-Myant-narcomplex,,./0.png
94.901839,21.160367,,,,./0.png
94.902301,21.16032,,,,./0.png
94.900854,21.162802,"539",Tayokpyi,,./0.png
94.903412,21.162107,"478",,,./0.png
94.903478,21.162106,"479",Hpayathonzu,,./0.png
94.903342,21.162107,"477",,,./0.png
94.904194,21.163016,"482",Thanbula,,./0.png
94.905283,21.165951,"577",Nandamanya,,./0.png
94.905965,21.170343,"588",Ajjagona,,./0.png
94.903745,21.169606,"659",Winido,,./0.png
94.895554,21.163302,,,,./0.png
94.895493,21.162667,"697",Hsinbyushin complex,,./0.png
94.87367,21.169037,,Shwenanyintaw comple,,./0.png
94.853224,21.1294,,,,./0.png
94.85283,21.129283,,,,./0.png
94.853862,21.128502,,,,./0.png
94.855897,21.130707,,,,./0.png
94.854154,21.134223,,,,./0.png
94.855435,21.134712,,,,./0.png
94.854601,21.13427,,,,./0.png
94.856382,21.135691,,,,./0.png
94.856392,21.135601,,,,./0.png
94.856423,21.135522,,,,./0.png
94.856432,21.135422,,,,./0.png
94.856581,21.135431,,,,./0.png
94.855113,21.137108,,,,./0.png
94.855251,21.137018,,,,./0.png
94.857261,21.13805,,,,./0.png
94.85825,21.138144,,,,./0.png
94.858112,21.138145,,,,./0.png
94.858348,21.138322,,,,./0.png
94.858263,21.138273,,,,./0.png
94.858188,21.138274,,,,./0.png
94.858124,21.138274,,,,./0.png
94.85805,21.138254,,,,./0.png
94.856811,21.137755,,,,./0.png
